IL NAME,CATION NAME,ANION NAME,Cation_SMILES,Anion_SMILES,Temperature (0 C),Pressure (bar),CO2 capacity (mol CO2/mol IL)
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,30,2.5,0.288
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,30,3,0.326
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,30,3.5,0.363
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,30,4,0.397
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,0.207,0.034
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,0.398,0.057
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,0.582,0.08
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,0.787,0.102
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,0.994,0.121
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,1.5,0.171
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,2,0.201
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,2.5,0.242
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,3,0.269
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,3.5,0.292
[BVIM][L-His],1-butyl-3-vinylimidazolium,L-histidinate,CCCC[N+]1=CN(C=C1)C=C,C1=C(N=CN1)C[C@@H](C(=O)[O-])N,40,4,0.311
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,0.207,0.063
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,0.406,0.113
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,0.596,0.144
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,0.786,0.183
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,0.998,0.225
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,1.5,0.313
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,2,0.356
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,2.5,0.401
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,3,0.44
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,3.5,0.472
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],10,4,0.493
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,0.212,0.072
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,0.395,0.095
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,0.585,0.119
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,0.787,0.136
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,0.99,0.153
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,1.5,0.191
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,2,0.218
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,2.5,0.238
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,3,0.249
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,3.5,0.262
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],20,4,0.273
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,0.212,0.055
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,0.4,0.074
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,0.59,0.093
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,0.781,0.106
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,0.99,0.119
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,1.5,0.144
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,2,0.157
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,2.5,0.167
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,3,0.173
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,3.5,0.18
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],30,4,0.186
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,0.223,0.044
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,0.4,0.056
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,0.585,0.068
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,0.792,0.077
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,0.987,0.086
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,1.5,0.101
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,2,0.113
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,2.5,0.127
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,3,0.136
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,3.5,0.142
[BVIM][L-Pro],1-butyl-3-vinyl-1H-imidazol-3-ium,L-prolinate,CCCC[N+]1=CN(C=C1)C=C,C1C[C@H](NC1)C(=O)[O-],40,4,0.148
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,0.215,0.101
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,0.387,0.161
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,0.582,0.209
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,0.792,0.251
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,0.996,0.269
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,1.5,0.322
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,2,0.394
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,2.5,0.448
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,3,0.477
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,3.5,0.495
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,10,4,0.507
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,0.234,0.048
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,0.414,0.087
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,0.59,0.115
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,0.818,0.149
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,1.02,0.178
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,1.5,0.216
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,2,0.24
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,2.5,0.279
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,3,0.298
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,3.5,0.313
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,20,4,0.317
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,0.239,0.038
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,0.419,0.068
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,0.646,0.09
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,0.824,0.103
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,1.005,0.115
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,1.5,0.141
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,2,0.167
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,2.5,0.188
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,3,0.205
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,3.5,0.209
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,30,4,0.213
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,0.258,0.048
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,0.414,0.062
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,0.582,0.077
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,0.827,0.092
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,0.986,0.103
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,1.5,0.121
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,2,0.136
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,2.5,0.15
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,3,0.157
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,3.5,0.161
[BVIM][L-Val],1-butyl-3-vinyl-1H-imidazol-3-ium,L-valinate,CCCC[N+]1=CN(C=C1)C=C,CC(C)[C@@H](C(=O)[O-])N,40,4,0.168
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,0.264,0.129
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,0.428,0.187
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,0.609,0.234
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,0.823,0.31
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,0.998,0.339
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,1.5,0.415
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,2,0.491
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,2.5,0.52
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,3,0.567
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,3.5,0.585
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,10,4,0.602
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,0.193,0.088
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,0.387,0.135
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,0.59,0.176
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,0.77,0.229
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,0.994,0.252
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,1.5,0.293
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,2,0.346
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,2.5,0.387
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,3,0.404
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,3.5,0.41
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,20,4,0.422
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,0.196,0.082
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,0.398,0.102
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,0.588,0.133
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,0.787,0.143
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,0.994,0.168
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,1.5,0.189
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,2,0.224
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,2.5,0.25
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,3,0.26
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,3.5,0.265
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,30,4,0.265
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,0.258,0.048
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,0.414,0.062
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,0.582,0.077
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,0.827,0.092
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,0.986,0.103
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,1.5,0.134
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,2,0.166
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,2.5,0.184
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,3,0.207
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,3.5,0.218
[BVIM][Gly],1-butyl-3-vinylimidazolium,glycinate,CCCC[N+]1=CN(C=C1)C=C,C(C(=O)[O-])N,40,4,0.228
[BVIM][L-Ala],1-butyl-3-vinyl-1H-imidazol-3-ium,L-alaninate,CCCC[N+]1=CN(C=C1)C=C,C[C@@H](C(=O)[O-])N,10,0.199,0.087
[BVIM][L-Ala],1-butyl-3-vinyl-1H-imidazol-3-ium,L-alaninate,CCCC[N+]1=CN(C=C1)C=C,C[C@@H](C(=O)[O-])N,10,0.382,0.124
[BVIM][L-Ala],1-butyl-3-vinyl-1H-imidazol-3-ium,L-alaninate,CCCC[N+]1=CN(C=C1)C=C,C[C@@H](C(=O)[O-])N,10,0.574,0.192
[BVIM][L-Ala],1-butyl-3-vinyl-1H-imidazol-3-ium,L-alaninate,CCCC[N+]1=CN(C=C1)C=C,C[C@@H](C(=O)[O-])N,10,0.763,0.248
[BVIM][L-Ala],1-butyl-3-vinyl-1H-imidazol-3-ium,L-alaninate,CCCC[N+]1=CN(C=C1)C=C,C[C@@H](C(=O)[O-])N,10,0.978,0.282
[BVIM][L-Ala],1-butyl-3-vinyl-1H-imidazol-3-ium,L-alaninate,CCCC[N+]1=CN(C=C1)C=C,C[C@@H](C(=O)[O-])N,10,1.5,0.391
